epoch,lr,train_loss
0.0,0.0005,4.492274420601981
1.0,0.0005,4.405305544535319
2.0,0.0005,4.26687631152925
3.0,0.0005,4.014885062263126
4.0,0.0005,3.7044131755828857
5.0,0.0005,3.32745969863165
6.0,0.0005,3.0056425162724087
7.0,0.0005,2.6261600255966187
8.0,0.0005,2.2178803909392584
9.0,0.0005,1.9080765190578641
10.0,0.0005,1.716962212607974
11.0,0.0005,1.5594050543648856
12.0,0.0005,1.502354105313619
13.0,0.0005,1.3569284081459045
14.0,0.0005,1.2281015061196827
15.0,0.0005,1.034659309046609
16.0,0.0005,0.9137561576707023
17.0,0.0005,0.8779202103614807
18.0,0.0005,0.9215929252760751
19.0,0.0005,0.7699164123762221
20.0,0.0005,0.6862434631302243
21.0,0.0005,0.6438631755965096
22.0,0.0005,0.6153174752280826
23.0,0.0005,0.5924920496486482
24.0,0.0005,0.5738279564040047
25.0,0.0005,0.5528960000900995
26.0,0.0005,0.5299485183897472
27.0,0.0005,0.5068376660346985
28.0,0.0005,0.4928856179827735
29.0,0.0005,0.46868389277231126
30.0,0.0005,0.45261169615246
31.0,0.0005,0.4330253686223711
32.0,0.0005,0.4150593649773371
33.0,0.0005,0.4123567981379373
34.0,0.0005,0.4000044748896644
35.0,0.0005,0.4170577895073664
36.0,0.0005,0.4117431938648224
37.0,0.0005,0.41338606107802617
38.0,0.0005,0.39071130468731835
39.0,0.0005,0.3659187768186842
40.0,0.0005,0.3490424610319592
41.0,0.0005,0.3366990571930295
42.0,0.0005,0.3279521522067842
43.0,0.0005,0.3261181740533738
44.0,0.0005,0.31711841622988385
45.0,0.0005,0.3126772145430247
46.0,0.0005,0.3091139892737071
47.0,0.0005,0.3022666048435938
48.0,0.0005,0.2980472119081588
49.0,0.0005,0.29587642493702115
50.0,0.0005,0.293047098886399
51.0,0.0005,0.2846508785372689
52.0,0.0005,0.28416023438885096
53.0,0.0005,0.2756464502641133
54.0,0.0005,0.2699661020721708
55.0,0.0005,0.2720226886726561
56.0,0.0005,0.28439311612220036
57.0,0.0005,0.2877287091243835
58.0,0.0005,0.27549518786725546
59.0,0.0005,0.2658242824531737
60.0,0.0005,0.27942475818452384
61.0,0.0005,0.32759903158460346
62.0,0.0005,0.3365715387321654
63.0,0.0005,0.40737272869972957
64.0,0.0005,0.5610016243798392
65.0,0.0005,0.6988465104784284
66.0,0.0005,1.4170832875229062
67.0,0.0005,1.1157262864566984
68.0,0.0005,0.7020700942902338
69.0,0.0005,0.4705234822772798
70.0,0.0005,0.3759456503958929
71.0,0.0005,0.32326597401074003
72.0,0.0005,0.2979483774730137
73.0,0.0005,0.2824430706955138
74.0,0.0005,0.2730281800031662
75.0,0.0005,0.27552855227674755
76.0,0.0005,0.2640455060061954
77.0,0.0005,0.25109120919590905
78.0,0.0005,0.24266822849001204
79.0,0.0005,0.23722168803215027
80.0,0.0005,0.23421007891496023
81.0,0.0005,0.22852563148453123
82.0,0.0005,0.2241089642047882
83.0,0.0005,0.22269268121038163
84.0,0.0005,0.2199880431095759
85.0,0.0005,0.21945693592230478
86.0,0.0005,0.21587332870279038
87.0,0.0005,0.21448277007965816
88.0,0.0005,0.20981131210213616
89.0,0.0005,0.20677869873387472
90.0,0.0005,0.2019178895723252
91.0,0.0005,0.19839212937014444
92.0,0.0005,0.1980024306547074
93.0,0.0005,0.195208850361052
94.0,0.0005,0.19086089517389024
95.0,0.0005,0.19032745843841917
96.0,0.0005,0.1894152568919318
97.0,0.0005,0.18663418292999268
98.0,0.0005,0.18371497520378657
99.0,0.0005,0.1827081860530944
