epoch,lr,train_loss
0.0,0.01,27.920321101234073
1.0,0.01,6.76516968863351
2.0,0.01,5.177158151354108
3.0,0.01,4.804440293993268
4.0,0.01,4.578646818796794
5.0,0.01,4.490597372963315
6.0,0.01,4.331773247037615
7.0,0.01,4.428295748574393
8.0,0.01,4.145849943161011
9.0,0.01,3.9480472405751548
10.0,0.01,3.718245574406215
11.0,0.01,3.4972325279599143
12.0,0.01,3.3789362680344355
13.0,0.01,3.206070366359892
14.0,0.01,2.9142425855000815
15.0,0.01,2.6832717827388217
16.0,0.01,2.4492166382925853
17.0,0.01,2.247391240937369
18.0,0.01,2.074850769270034
19.0,0.01,1.8955141362689791
20.0,0.01,1.690294895853315
21.0,0.01,1.5454806429999215
22.0,0.01,1.3321107881409782
23.0,0.01,1.1454140827769326
24.0,0.01,1.0825501453308832
25.0,0.01,0.950509752546038
26.0,0.01,0.9030464632170541
27.0,0.01,0.9135633905728658
28.0,0.01,0.952328398114159
29.0,0.01,0.882221641994658
30.0,0.01,0.9198861718177795
31.0,0.01,0.7580367128054301
32.0,0.01,0.6691412102608454
33.0,0.01,0.5673083464304606
34.0,0.01,0.5379380030291421
35.0,0.01,0.520588185106005
36.0,0.01,0.4971717425755092
37.0,0.01,0.4731582034201849
38.0,0.01,0.45050463931901114
39.0,0.01,0.44620059927304584
40.0,0.01,0.4146645835467747
41.0,0.01,0.4065976852462405
42.0,0.01,0.4020817904245286
43.0,0.01,0.37691481908162433
44.0,0.01,0.3601536892709278
45.0,0.01,0.3524291117986043
46.0,0.01,0.3435324799446833
47.0,0.01,0.33786246180534363
48.0,0.01,0.32697421312332153
49.0,0.01,0.354017850898561
